Unix Timestamp (UTC),Degrees (°C)
1579047896052,23.429000
1579047897052,23.429000
1579047898052,23.429000
1579047899053,23.429000
1579047900053,23.429000
1579047901053,23.458000
1579047902053,23.429000
1579047903053,23.429000
1579047904053,23.429000
1579047905053,23.458000
1579047906053,23.429000
1579047907053,23.429000
1579047908053,23.429000
1579047909054,23.429000
1579047910054,23.429000
1579047911054,23.429000
1579047912054,23.429000
1579047913054,23.429000
1579047914054,23.429000
1579047915054,23.458000
1579047916054,23.429000
1579047917054,23.429000
1579047918054,23.458000
1579047919054,23.400000
1579047920055,23.458000
1579047921055,23.429000
1579047922055,23.429000
1579047923055,23.458000
1579047924055,23.429000
1579047925055,23.429000
1579047926055,23.429000
1579047927055,23.429000
1579047928055,23.458000
1579047929055,23.429000
1579047930056,23.458000
1579047931056,23.429000
1579047932056,23.429000
1579047933056,23.458000
1579047934056,23.429000
1579047935056,23.458000
1579047936056,23.429000
1579047937056,23.429000
1579047938056,23.429000
1579047939056,23.458000
1579047940057,23.458000
1579047941057,23.458000
1579047942057,23.429000
1579047943057,23.458000
1579047944057,23.429000
1579047945057,23.429000
1579047946057,23.429000
1579047947057,23.458000
1579047948057,23.429000
1579047949057,23.400000
1579047950057,23.458000
1579047951057,23.429000
1579047952057,23.429000
1579047953058,23.429000
1579047954058,23.429000
1579047955058,23.429000
1579047956058,23.458000
1579047957058,23.429000
1579047958058,23.429000
1579047959058,23.429000
1579047960058,23.429000
1579047961058,23.429000
1579047962058,23.429000
1579047963058,23.429000
1579047964058,23.458000
1579047965058,23.429000
1579047966059,23.429000
1579047967059,23.429000
1579047968059,23.429000
1579047969059,23.429000
1579047970059,23.458000
1579047971059,23.429000
1579047972059,23.429000
1579047973059,23.429000
1579047974059,23.429000
1579047975059,23.429000
1579047976059,23.429000
1579047977059,23.429000
1579047978059,23.429000
1579047979060,23.458000
1579047980060,23.429000
1579047981060,23.429000
1579047982060,23.429000
1579047983060,23.429000
1579047984060,23.458000
1579047985060,23.429000
1579047986060,23.458000
1579047987060,23.429000
1579047988060,23.429000
1579047989060,23.400000
1579047990060,23.429000
1579047991060,23.429000
1579047992061,23.429000
1579047993061,23.458000
1579047994061,23.458000
1579047995061,23.429000
1579047996061,23.429000
1579047997061,23.429000
1579047998061,23.458000
1579047999061,23.429000
1579048000061,23.429000
1579048001061,23.429000
1579048002061,23.458000
1579048003061,23.429000
1579048004061,23.458000
1579048005062,23.429000
1579048006062,23.429000
1579048007062,23.400000
1579048008062,23.429000
1579048009062,23.429000
1579048010062,23.429000
1579048011062,23.458000
1579048012062,23.429000
1579048013062,23.429000
1579048014062,23.429000
